Initializing SD card...
Card initialized.
Waiting for key...
Key received. Dumping file...
Timestamp,Sensor,BME_Temperature,BME_Pressure,BME_Humidity,BME_Gas_Resistance,BME_Altitude,ENS_AQI,ENS_TVOC,ENS_eCO2,ENS_HP0,ENS_HP1,ENS_HP2,ENS_HP3,LSM_Accel_X,LSM_Accel_Y,LSM_Accel_Z,LSM_Gyro_X,LSM_Gyro_Y,LSM_Gyro_Z,MPL_Pressure,MPL_Altitude,BNO_Accel_X,BNO_Accel_Y,BNO_Accel_Z,BNO_Mag_X,BNO_Mag_Y,BNO_Mag_Z,BNO_Gyro_X,BNO_Gyro_Y,BNO_Gyro_Z,BNO_Euler_Heading,BNO_Euler_Roll,BNO_Euler_Pitch,BNO_Linear_Accel_X,BNO_Linear_Accel_Y,BNO_Linear_Accel_Z,BNO_Gravity_X,BNO_Gravity_Y,BNO_Gravity_Z,BNO_Calibration_System,BNO_Calibration_Gyro,BNO_Calibration_Accel,BNO_Calibration_Mag1581,FRANC,,,,,,,,,,,,,-7.45,0.26,6.26,0.05,-0.38,-2.83,982.38,262.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0
3137,FRANC,,,,,,,,,,,,,-7.45,0.13,6.40,0.01,-0.01,-0.03,982.52,262.25,0.54,8.55,4.74,-27.00,-50.88,-28.88,0.00,0.00,0.00,-60.94,359.94,3.31,-0.02,0.00,0.00,0.56,8.56,4.74,0,3,1,0
3148,FRANC,,,,,,,,,,,,,-7.48,0.22,6.25,-0.01,-0.02,-0.05,,,0.54,8.55,4.70,-27.00,-51.25,-29.56,0.01,0.00,-0.00,-60.94,359.94,3.31,-0.03,0.02,-0.03,0.56,8.56,4.74,0,3,1,0
3187,FRANC,,,,,,,,,,,,,-7.57,0.05,6.43,-0.04,0.01,-0.08,982.44,257.19,0.54,8.60,4.69,-27.00,-51.25,-29.56,0.00,-0.00,0.00,-60.94,359.94,3.31,-0.02,0.04,-0.04,0.56,8.56,4.74,0,3,1,0
3198,FRANC,,,,,,,,,,,,,-7.50,0.38,6.20,-0.03,0.01,-0.02,,,0.53,8.55,4.71,-27.75,-51.25,-28.88,-0.00,-0.00,0.00,-60.94,359.94,3.31,-0.02,0.02,-0.02,0.56,8.56,4.74,0,3,1,0
3236,FRANC,,,,,,,,,,,,,-7.54,0.09,6.36,0.03,0.01,-0.04,982.34,258.00,0.54,8.58,4.71,-27.75,-51.25,-28.88,-0.00,0.00,0.00,-60.94,359.94,3.31,0.00,0.03,-0.02,0.56,8.56,4.74,0,3,1,0
3247,FRANC,,,,,,,,,,,,,-7.49,0.07,6.36,0.02,0.03,-0.05,,,0.55,8.56,4.74,-27.75,-51.56,-30.38,-0.00,-0.00,0.00,-60.94,359.94,3.31,0.00,-0.02,-0.02,0.56,8.56,4.74,0,3,1,0
3287,FRANC,,,,,,,,,,,,,-7.47,0.29,6.27,-0.04,-0.06,0.01,982.42,259.00,0.55,8.55,4.71,-27.75,-51.56,-30.38,0.00,0.00,0.00,-60.94,359.94,3.31,-0.01,0.00,-0.02,0.56,8.56,4.74,0,3,1,0
3297,FRANC,,,,,,,,,,,,,-7.43,0.12,6.39,-0.03,-0.00,-0.05,,,0.54,8.54,4.74,-27.00,-52.00,-28.88,0.00,-0.00,-0.00,-60.94,359.94,3.31,-0.01,0.00,-0.02,0.56,8.56,4.74,0,3,1,0
3337,FRANC,,,,,,,,,,,,,-7.48,0.15,6.36,-0.02,-0.04,-0.03,982.21,260.62,0.53,8.56,4.71,-27.00,-52.00,-28.88,-0.00,0.00,0.00,-60.94,359.94,3.31,-0.03,0.00,-0.03,0.56,8.56,4.74,0,3,1,0
3347,FRANC,,,,,,,,,,,,,-7.45,0.18,6.18,-0.02,0.01,-0.07,,,0.54,8.57,4.73,-28.06,-50.88,-28.88,0.00,0.00,0.00,-60.94,359.94,3.31,-0.01,0.01,-0.03,0.56,8.56,4.74,0,3,1,0
